candidate_gene	candidate_mouse_spatial_score	null_index	matched_mouse_gene	matched_mouse_spatial_score	detection_distance	effect_percentile_distance	seed
COL5A1	38.09648599864171	21	Myh9	36.61935274975054	0.01081980857261755	0.013252346769740408	20260711
COL5A1	38.09648599864171	22	Fuca2	34.74948957878481	0.032940058747269685	0.0495971689958975	20260711
COL5A1	38.09648599864171	23	S100a10	35.89201543319446	0.036573932389960095	0.02849254555494196	20260711
COL5A1	38.09648599864171	24	Id3	37.07339160641255	0.016171419966287237	0.004859193815571539	20260711
COL5A1	38.09648599864171	25	Lrp1	37.37955899364976	0.054649586849123355	0.00629486471562668	20260711
COL5A1	38.09648599864171	26	Col5a2	37.81989481718388	0.030794839783603756	0.04770844837106569	20260711
COL5A1	38.09648599864171	27	Lgmn	38.48813773966411	0.06294660856808365	0.0032026504693539737	20260711
COL5A1	38.09648599864171	28	Dsp	35.09374706719717	0.0490528583928066	0.015475416378603946	20260711
COL5A1	38.09648599864171	29	Timp3	36.61222365917815	0.0015544771370417099	0.03246824958586414	20260711
COL5A1	38.09648599864171	30	Gnb2	35.893725383635015	0.0481645025430274	0.028713418001104385	20260711
COL3A1	38.30561679246617	1	mt-Atp6	33.43466565691803	0.006917423259835687	0.005671300434700766	20260711
COL3A1	38.30561679246617	2	mt-Cytb	33.704313070457445	0.006917423259835687	0.0014060813575390574	20260711
COL3A1	38.30561679246617	3	Rpl22	36.820520099298804	0.017725897103329058	0.020651573716178873	20260711
COL3A1	38.30561679246617	4	Rps14	37.10072761531728	0.0025940337224383825	0.02551076753175041	20260711
COL3A1	38.30561679246617	5	mt-Co3	33.39671902900419	0.006917423259835687	0.003732564490536383	20260711
COL3A1	38.30561679246617	6	Rpl7	37.24424281290032	0.016861219195849597	0.011154058531198219	20260711
COL3A1	38.30561679246617	7	Rps15a	37.4794972036266	0.0012970168612191912	0.004086140254003334	20260711
COL3A1	38.30561679246617	8	Rpl32	37.58964544636345	0.003026372676178113	0.010601877415792327	20260711
COL3A1	38.30561679246617	9	Rpl19	36.91909341086294	0.0012970168612191912	0.024737713970182207	20260711
COL3A1	38.30561679246617	10	B2m	37.15160782091136	0.00951145698227418	0.005963556046383212	20260711
COL3A1	38.30561679246617	11	Rps28	37.172435899092214	0.002161694768698652	0.02948647156267259	20260711
COL3A1	38.30561679246617	12	Atp5g1	33.22060824751593	0.013739827424831152	0.014977232966689957	20260711
COL3A1	38.30561679246617	13	Cox5a	32.65503224308104	0.017725790463881896	0.021181187988016048	20260711
COL3A1	38.30561679246617	14	Rpl15	37.065027220768336	0.014699524427150945	0.019988956377691824	20260711
COL3A1	38.30561679246617	15	Rps23	37.56488831476494	0.0038910505836575737	0.009166206515737185	20260711
COL3A1	38.30561679246617	16	Rpl41	37.79710345203664	0.005620406398616495	0.003975704030922178	20260711
COL3A1	38.30561679246617	17	Rps18	37.03201939194964	0.01815823605706879	0.020872446162341185	20260711
COL3A1	38.30561679246617	18	Rpl26	37.301733802533896	0.0017293558149589217	0.016123688569850914	20260711
COL3A1	38.30561679246617	19	Tpt1	37.581575296608214	0.0047557284911370346	0.020209828823854248	20260711
COL3A1	38.30561679246617	20	Rps26	37.49916123748567	0.0008646779074794608	0.01082274986195475	20260711
COL3A1	38.30561679246617	21	Fau	37.59826893716149	0.002161694768698652	0.008945334069574762	20260711
COL3A1	38.30561679246617	22	Pln	33.51266079623988	0.0361519251989082	0.0021815757352048326	20260711
COL3A1	38.30561679246617	23	Itm2b	36.637350130992054	0.0004323389537397304	0.018221976808393103	20260711
COL3A1	38.30561679246617	24	Rpl39	37.625938538581366	0.0004323389537397304	0.023302043070126954	20260711
COL3A1	38.30561679246617	25	Rps27a	37.566221849625464	0.0017293558149589217	0.005632247377139743	20260711
COL3A1	38.30561679246617	26	Rpl35a	37.29041755286101	0.0017293558149589217	0.015792379900607445	20260711
COL3A1	38.30561679246617	27	Rplp0	37.25480656329548	0.002161694768698652	0.024516841524019894	20260711
COL3A1	38.30561679246617	28	Ctsb	37.76735849436672	0.0008646779074794608	0.0036443953616785985	20260711
COL3A1	38.30561679246617	29	Rplp1	37.79670224918995	0.0047557284911370346	0.014908890115957973	20260711
COL3A1	38.30561679246617	30	Rps4x	37.51408432190797	0.00907911802853445	0.0014356709000552526	20260711
TNFRSF12A	35.364703672593905	1	Ctdsp2	35.71014846567032	0.035897241652485534	0.01742331608846792	20260711
TNFRSF12A	35.364703672593905	2	Sdcbp	35.99157585178833	0.0030394811682659117	0.04028361426627025	20260711
